HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
1,21,7.5,5,1.36,A
2,17,1.45,4.33,7,A
3,12,2.55,3.1,2.87,D
4,9,1.61,4,5,H
5,10,2.1,3.2,3.6,H
6,13,2.2,3.3,3.3,H
7,16,3.75,3.3,2,D
8,15,2.15,3.2,3.5,D
9,5,1.4,4.5,8,A
10,7,2.2,3,3.6,H
21,6,1.14,7.5,17,H
12,4,7.5,4.33,1.4,A
13,3,2.05,3.3,3.6,A
14,8,2.7,3,2.75,H
15,18,3.6,3.2,2.1,A
16,2,2.87,3.1,2.55,D
17,1,2.4,3.2,3,A
6,12,2.45,3,3.1,D
2,15,1.7,3.6,5,H
5,14,2.2,3,3.6,D
4,10,1.16,7,15,A
7,9,6,4.2,1.55,A
3,17,2.2,3.1,3.5,D
21,13,1.11,9,17,H
1,16,2.6,3.3,2.62,D
8,18,4.2,3.6,1.83,A
14,7,2,3.1,3.75,D
10,8,2.4,3.1,3.1,A
9,3,1.33,4.5,7,H
18,4,3,3.25,2.1,D
17,6,2.3,3.1,3.25,D
15,5,2.5,2.9,2.87,H
13,1,2.4,3.25,2.9,D
16,21,5,4,1.5,A
12,2,3.8,3.3,2,A
7,8,3.5,3.2,2.1,H
3,15,2.62,3.1,2.75,D
5,18,4,3.4,1.9,A
4,14,1.22,6,12,H
13,16,3.2,3.3,2.2,A
6,10,2.6,3.2,2.75,H
1,12,2.35,3.25,3,D
2,9,2.8,3.3,2.45,A
21,17,1.11,8.5,19,H
18,14,1.44,4.5,7.5,H
15,4,6.5,4.2,1.5,H
17,13,2.45,3,3,D
16,6,1.85,3.1,4.75,H
10,3,2.1,3.2,3.6,D
8,5,2.2,3.1,3.5,A
14,2,3.75,2.8,2.25,A
18,7,1.4,4.5,8,H
9,1,1.36,4.75,8,H
12,21,10,6,1.25,H
17,16,3.5,3.2,2.15,D
7,5,2.87,3.2,2.5,H
1,10,2.15,3.25,3.3,H
2,18,3.8,3,2.1,A
13,12,2.5,3.1,2.9,H
3,14,2.55,3,2.9,H
4,8,1.2,6.5,13,H
21,9,1.57,4.2,5.25,A
15,1,2.1,3.2,3.6,H
7,2,4.33,3.6,1.8,A
5,4,6.5,4.25,1.5,A
18,6,1.25,5.75,11,H
14,16,2.9,3.4,2.3,H
8,3,2.1,3.5,3.3,H
12,17,2.1,3.1,3.75,D
9,13,1.33,5,9,H
10,21,9,5.5,1.3,A
6,15,3.6,3.25,2.1,A
2,8,1.9,3.5,4,H
6,14,3.1,3.2,2.45,D
1,18,5.75,4.2,1.53,D
4,7,1.18,7,15,H
3,5,2.75,3.1,2.62,A
16,12,1.9,3.3,4.2,D
17,9,6,3.8,1.57,H
21,15,1.25,5.5,12,H
13,10,2.4,3.3,2.87,H
8,1,2.4,3.2,3,D
10,17,2.37,3.1,3.2,H
7,6,2.37,3.2,3,D
18,13,1.3,5.5,8.5,H
15,12,2.25,3.4,3.1,D
